Model,MAE,RMSE,R2
Baseline Naive,14.795321580840325,20.043710935455024,0.9947361663808788
ARIMA,286.2913840169525,392.5208556814104,-1.019355316381493
LSTM,59.037337780990114,72.54978113890355,0.9313206931156432
